family_id,classification,low_type,candidate_type,low_name_normalized,candidate_name_normalized,representative_low_name,representative_candidate_name,low_calendar_group,candidate_calendar_group,score_min,score_max,event_count,first_year,last_year,sample_low_ids,sample_candidate_ids,proposed_family_decision,reviewer_family_decision,reviewer_notes
FAM-001,review_candidate,commemorative,commemorative,dia mundial de los oceanos inconstitucional,dia mundial de los refugiados inconstitucional,Día Mundial de los Océanos (inconstitucional),Día Mundial de los Refugiados (inconstitucional),días nacionales,días nacionales,0.8989,0.8989,83,2018,2100,cl-2082-06-08-dia-mundial-de-los-oceanos-inconstitucional cl-2055-06-08-dia-mundial-de-los-oceanos-inconstitucional cl-2043-06-08-dia-mundial-de-los-oceanos-inconstitucional cl-2035-06-08-dia-mundial-de-los-oceanos-inconstitucional cl-2099-06-08-dia-mundial-de-los-oceanos-inconstitucional,cl-2068-06-20-dia-mundial-de-los-refugiados-inconstitucional,review_family,,
FAM-002,auto_safe_candidate,commemorative,commemorative,mes nacional de la ciberseguridad inconstitucional,mes nacional de la ciberseguridad inconstitucional,Mes Nacional de la Ciberseguridad (inconstitucional),Mes Nacional de la Ciberseguridad (inconstitucional),semanas/meses/años nacionales,semanas/meses/años nacionales,1.0,1.0,82,2019,2100,cl-2083-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional cl-2085-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional cl-2040-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional cl-2035-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional cl-2084-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,cl-2018-10-01-mes-nacional-de-la-ciberseguridad-inconstitucional,accept_family,,
FAM-003,auto_safe_candidate,restricted,local,nacimiento del procer de la independencia escolar,nacimiento del procer de la independencia,Nacimiento del Prócer de la Independencia (escolar),Nacimiento del Prócer de la Independencia,feriados ámbito restringido,feriados locales ámbito normal,1.0,1.0,29,1981,2013,cl-1984-08-20-nacimiento-del-procer-de-la-independencia-escolar cl-1999-08-20-nacimiento-del-procer-de-la-independencia-escolar cl-1994-08-20-nacimiento-del-procer-de-la-independencia-escolar cl-1986-08-20-nacimiento-del-procer-de-la-independencia-escolar cl-1991-08-20-nacimiento-del-procer-de-la-independencia-escolar,cl-2055-08-20-nacimiento-del-procer-de-la-independencia,defer_to_issue_3,,
FAM-004,review_candidate,commemorative,commemorative,semana de las empresas de menor tamano observancia efectiva evento digital,semana de las empresas de menor tamano observancia efectiva,"Semana de las Empresas de Menor Tamaño (observancia efectiva, “evento digital”)",Semana de las Empresas de Menor Tamaño (observancia efectiva),semanas/meses/años nacionales,semanas/meses/años nacionales,0.8872,0.8872,5,2020,2021,cl-2020-11-18-semana-de-las-empresas-de-menor-tamano-observancia-efectiva-evento-digital cl-2020-10-28-semana-de-las-empresas-de-menor-tamano-observancia-efectiva-evento-digital cl-2021-10-26-semana-de-las-empresas-de-menor-tamano-observancia-efectiva-evento-digital cl-2020-09-28-semana-de-las-empresas-de-menor-tamano-observancia-efectiva-evento-digital cl-2020-12-09-semana-de-las-empresas-de-menor-tamano-observancia-efectiva-evento-digital,cl-2018-11-12-semana-de-las-empresas-de-menor-tamano-observancia-efectiva,review_family,,
FAM-005,auto_safe_candidate,commemorative,commemorative,dia nacional del nino de facto,dia nacional del nino de facto,Día Nacional del Niño (de facto),Día Nacional del Niño (de facto),días nacionales no oficiales,días nacionales no oficiales,1.0,1.0,1,2020,2020,cl-2020-08-16-dia-nacional-del-nino-de-facto,cl-2026-08-09-dia-nacional-del-nino-de-facto,accept_family,,
